Abstract_tokens,DocTitle_tokens,phase,Publication Year,extended
"['ogd', 'ogd', 'principle', 'opendata', 'success', 'factor', 'barrier', 'user', 'opendataportal', 'aspect', 'task', 'user', 'lack', 'opendataportal', 'opportunity', 'path', 'ogd', 'covid-19', 'relation', 'country', 'gap', 'country', 'ogd', 'report', 'country', 'opendata', 'ogd', 'emergency', 'reuse']","['opendata', 'ogd', 'publisher', 'user']",phase5,2020,"['ogd', 'ogd', 'principle', 'opendata', 'success', 'factor', 'barrier', 'user', 'opendataportal', 'aspect', 'task', 'user', 'lack', 'opendataportal', 'opportunity', 'path', 'ogd', 'covid-19', 'relation', 'country', 'gap', 'country', 'ogd', 'report', 'country', 'opendata', 'ogd', 'emergency', 'reuse', 'opendata', 'ogd', 'publisher', 'user']"
"['indonesia', 'sector', 'opendata', 'transparency', 'government', 'engagement', 'quality', 'opendataportal', 'quality', 'interpretation', 'usability', 'context', 'quality', 'government', 'opendataportal', 'platform', 'metric', 'quality', 'framework', 'quality', 'process', 'choice', 'initiative', 'goal', 'metric', 'assessment', 'opendataportal', 'contribution', 'metric', 'quality', 'ogd', 'portal', 'process', 'metric', 'ogd', 'portal', 'advancement', 'government', 'indonesia', 'principle']","['quality', 'framework', 'quality', 'opendataportal', 'government']",phase6,2023,"['indonesia', 'sector', 'opendata', 'transparency', 'government', 'engagement', 'quality', 'opendataportal', 'quality', 'interpretation', 'usability', 'context', 'quality', 'government', 'opendataportal', 'platform', 'metric', 'quality', 'framework', 'quality', 'process', 'choice', 'initiative', 'goal', 'metric', 'assessment', 'opendataportal', 'contribution', 'metric', 'quality', 'ogd', 'portal', 'process', 'metric', 'ogd', 'portal', 'advancement', 'government', 'indonesia', 'principle', 'quality', 'framework', 'quality', 'opendataportal', 'government']"
"['government', 'ogd', 'ogd', 'initiative', 'government', 'portal', 'benefit', 'portal', 'ogd', 'reusability', 'discovery', 'reuse', 'actor', 'ogd', 'dataset', 'pressure', 'government', 'agency', 'task', 'dataset', 'reuse', 'ogd', 'ogd', 'content', 'user', 'reuse', 'ogd', 'purpose', 'ogd', 'portal', 'user', 'dataset']","['user', 'ogd']",phase4,2019,"['government', 'ogd', 'ogd', 'initiative', 'government', 'portal', 'benefit', 'portal', 'ogd', 'reusability', 'discovery', 'reuse', 'actor', 'ogd', 'dataset', 'pressure', 'government', 'agency', 'task', 'dataset', 'reuse', 'ogd', 'ogd', 'content', 'user', 'reuse', 'ogd', 'purpose', 'ogd', 'portal', 'user', 'dataset', 'user', 'ogd']"
"['usage', 'ogd', 'ogd', 'government', 'transparency', 'governance', 'citizen', 'collaboration', 'innovation', 'improvement', 'ogd', 'initiative', 'stakeholder', 'publishing', 'guideline', 'government', 'ogd', 'country', 'government', 'portal', 'provision', 'consumption', 'process', 'ogd', 'usage', 'ogd', 'provision', 'government', 'operation', 'usage', 'ogd', 'insight', 'usage', 'law', 'ogd', 'initiative', 'business', 'intelligence', 'framework', 'ogd', 'dataset', 'usage', 'thailand', 'portal', 'framework', 'framework', 'feature', 'visualization']","['business', 'intelligence', 'framework', 'ogd', 'usage', 'thailand']",phase5,2021,"['usage', 'ogd', 'ogd', 'government', 'transparency', 'governance', 'citizen', 'collaboration', 'innovation', 'improvement', 'ogd', 'initiative', 'stakeholder', 'publishing', 'guideline', 'government', 'ogd', 'country', 'government', 'portal', 'provision', 'consumption', 'process', 'ogd', 'usage', 'ogd', 'provision', 'government', 'operation', 'usage', 'ogd', 'insight', 'usage', 'law', 'ogd', 'initiative', 'business', 'intelligence', 'framework', 'ogd', 'dataset', 'usage', 'thailand', 'portal', 'framework', 'framework', 'feature', 'visualization', 'business', 'intelligence', 'framework', 'ogd', 'usage', 'thailand']"
"['summary', 'form', 'government', 'policy', 'policy', 'promise', 'transparency', 'program', 'strategy', 'government', 'portal', 'community', 'entrepreneur', 'professional', 'enterprise', 'component', 'culture', 'government', 'platform', 'opendata', 'transparency', 'opendata', 'principle', 'access', 'science', 'government', 'efficiency', 'city', 'operation', 'policy', 'government', 'opensource', 'version', 'control', 'review', 'improvement', 'order', 'government', 'stack', 'public', 'lesson', 'strategy', 'opendata', 'analytic', 'science', 'culture', 'collaboration', 'government', 'public', 'enterprise']","['government', 'strategy', 'science', 'principle']",phase3,2015,"['summary', 'form', 'government', 'policy', 'policy', 'promise', 'transparency', 'program', 'strategy', 'government', 'portal', 'community', 'entrepreneur', 'professional', 'enterprise', 'component', 'culture', 'government', 'platform', 'opendata', 'transparency', 'opendata', 'principle', 'access', 'science', 'government', 'efficiency', 'city', 'operation', 'policy', 'government', 'opensource', 'version', 'control', 'review', 'improvement', 'order', 'government', 'stack', 'public', 'lesson', 'strategy', 'opendata', 'analytic', 'science', 'culture', 'collaboration', 'government', 'public', 'enterprise', 'government', 'strategy', 'science', 'principle']"
"['government', 'product', 'delivery', 'government', 'transparency', 'accountability', 'government', 'administration', 'task', 'government', 'platform', 'efficiency', 'performance', 'access', 'architecture', 'ogd', 'platform', 'overview', 'platform', 'government']","['platform', 'ogd']",phase1,2011,"['government', 'product', 'delivery', 'government', 'transparency', 'accountability', 'government', 'administration', 'task', 'government', 'platform', 'efficiency', 'performance', 'access', 'architecture', 'ogd', 'platform', 'overview', 'platform', 'government', 'platform', 'ogd']"
"['corpus', 'knowledge', 'ogd', 'initiative', 'strategy', 'business', 'citizen', 'ogd', 'progress', 'initiative', 'government', 'finding', 'innovation', 'motivation', 'initiative', 'innovation', 'strategy', 'consideration', 'ogd', 'portal', 'innovation', 'platform', 'consideration', 'business', 'citizen', 'dataset', 'implication', 'practice', 'ogd', 'initiative', 'discussion', 'direction']","['opendata', 'innovation', 'strategy', 'ogd']",phase2,2013,"['corpus', 'knowledge', 'ogd', 'initiative', 'strategy', 'business', 'citizen', 'ogd', 'progress', 'initiative', 'government', 'finding', 'innovation', 'motivation', 'initiative', 'innovation', 'strategy', 'consideration', 'ogd', 'portal', 'innovation', 'platform', 'consideration', 'business', 'citizen', 'dataset', 'implication', 'practice', 'ogd', 'initiative', 'discussion', 'direction', 'opendata', 'innovation', 'strategy', 'ogd']"
"['government', 'trust', 'transparency', 'degree', 'opendata', 'evolution', 'society', 'society', 'direction', 'government', 'decision', 'process', 'policy', 'individual', 'publication', 'internet', 'usability', 'star', 'schema', 'evaluation', 'quality', 'linkeddata', 'feature', 'aim', 'od', 'quality', 'group', 'repository', 'indicator', 'methodology', 'usability', 'degree', 'repository', 'principle', 'utility', 'indicator', 'repository', 'country', 'uk', 'usability', 'degree']","['opendata', 'indicator', 'methodology', 'quality', 'ogd']",phase5,2021,"['government', 'trust', 'transparency', 'degree', 'opendata', 'evolution', 'society', 'society', 'direction', 'government', 'decision', 'process', 'policy', 'individual', 'publication', 'internet', 'usability', 'star', 'schema', 'evaluation', 'quality', 'linkeddata', 'feature', 'aim', 'od', 'quality', 'group', 'repository', 'indicator', 'methodology', 'usability', 'degree', 'repository', 'principle', 'utility', 'indicator', 'repository', 'country', 'uk', 'usability', 'degree', 'opendata', 'indicator', 'methodology', 'quality', 'ogd']"
"['agency', 'government', 'authority', 'dataset', 'party', 'variety', 'metadata', 'description', 'boundary', 'limitation', 'order', 'individual', 'domain', 'expert', 'innovation', 'portal', 'platform', 'city', 'access', 'standard', 'collaboration', 'city', 'authority', 'national', 'university', 'prototype', 'creation', 'process', 'platform', 'phone', 'web']","['innovation', 'portal', 'platform', 'city', 'sharing']",phase2,2012,"['agency', 'government', 'authority', 'dataset', 'party', 'variety', 'metadata', 'description', 'boundary', 'limitation', 'order', 'individual', 'domain', 'expert', 'innovation', 'portal', 'platform', 'city', 'access', 'standard', 'collaboration', 'city', 'authority', 'national', 'university', 'prototype', 'creation', 'process', 'platform', 'phone', 'web', 'innovation', 'portal', 'platform', 'city', 'sharing']"
"['purpose', 'opendata', 'assessment', 'framework', 'opendata', 'assessment', 'framework', 'availability', 'impact', 'assessment', 'framework', 'opendataportal', 'category', 'opendata', 'lot', 'potential', 'improvement', 'aspect', 'requirement', 'feature', 'place']","['status', 'opendata', 'opendataportal']",phase6,2023,"['purpose', 'opendata', 'assessment', 'framework', 'opendata', 'assessment', 'framework', 'availability', 'impact', 'assessment', 'framework', 'opendataportal', 'category', 'opendata', 'lot', 'potential', 'improvement', 'aspect', 'requirement', 'feature', 'place', 'status', 'opendata', 'opendataportal']"
"['summary', 'form', 'presentation', 'publication', 'conference', 'society', 'organization', 'network', 'government', 'standard', 'accountability', 'transparency', 'disclosure', 'initiative', 'promise', 'government', 'society', 'governance', 'opportunity', 'government', 'transparency', 'initiative', 'opportunity', 'understanding', 'role', 'release', 'government', 'disclosure', 'access', 'capacity', 'practice', 'transparency', 'vision', 'government', 'benefit', 'citizen', 'return', 'architecture']","['government', 'perspective']",phase3,2015,"['summary', 'form', 'presentation', 'publication', 'conference', 'society', 'organization', 'network', 'government', 'standard', 'accountability', 'transparency', 'disclosure', 'initiative', 'promise', 'government', 'society', 'governance', 'opportunity', 'government', 'transparency', 'initiative', 'opportunity', 'understanding', 'role', 'release', 'government', 'disclosure', 'access', 'capacity', 'practice', 'transparency', 'vision', 'government', 'benefit', 'citizen', 'return', 'architecture', 'government', 'perspective']"
